date,Encoded Products,Monterrey total $,Monterrey ctdad
2022-01-17,83,61885.425,3.5
2022-01-17,8,0.0,0.0
2022-01-18,11,0.0,0.0
2022-01-18,6,0.0,0.0
2022-01-18,32,0.0,0.0
2022-01-18,24,28111.825,3.5
2022-01-18,44,75376.805,7.0
2022-01-18,15,0.0,0.0
2022-01-18,9,26551.455,3.5
2022-01-18,10,28827.015,3.5
2022-01-18,4,183263.92,17.5
2022-01-18,3,41170.36,14.0
2022-01-18,2,13349.98,3.5
2022-01-18,25,13349.595,3.5
2022-01-18,23,0.0,0.0
2022-01-18,29,14262.29,3.5
2022-01-18,26,20331.535,3.5
2022-01-18,18,36415.855,3.5
2022-01-18,7,42182.665,7.0
2022-01-18,56,8764.175000000001,3.5
2022-01-18,51,36410.29,3.5
2022-01-18,130,28323.225,3.5
2022-01-18,141,45264.31,10.5
2022-01-18,39,15656.48,3.5
2022-01-18,1,25533.585,21.0
2022-01-18,259,5307.33,3.5
2022-01-18,0,15167.88,7.0
2022-01-18,5,20566.805,7.0
2022-01-18,104,0.0,0.0
2022-01-18,21,24289.65,3.5
2022-01-18,20,63889.42,7.0
2022-01-18,12,0.0,0.0
2022-01-18,146,0.0,7.0
2022-01-18,64,44611.315,3.5
2022-01-18,114,75388.77500000001,3.5
2022-01-18,45,88122.96500000001,3.5
2022-01-18,31,54022.64,3.5
2022-01-18,8,0.0,0.0
2022-01-18,266,957898.6900000001,7.0
2022-01-18,269,0.0,0.0
2022-01-18,68,23821.07,3.5
2022-01-19,22,0.0,0.0
2022-01-19,11,13131.37,3.5
2022-01-19,6,63728.49,10.5
2022-01-19,32,24139.22,3.5
2022-01-19,24,0.0,0.0
2022-01-19,41,31562.755,3.5
2022-01-19,15,0.0,0.0
2022-01-19,9,0.0,0.0
2022-01-19,10,28827.015,3.5
2022-01-19,4,105020.825,10.5
2022-01-19,3,60987.955,21.0
2022-01-19,2,26699.96,7.0
2022-01-19,25,15169.98,3.5
2022-01-19,13,28395.85,3.5
2022-01-19,18,0.0,0.0
2022-01-19,166,0.0,0.0
2022-01-19,7,0.0,0.0
2022-01-19,56,14986.755,7.0
2022-01-19,34,26628.945,3.5
2022-01-19,143,23447.27,3.5
2022-01-19,35,11643.52,3.5
2022-01-19,48,0.0,0.0
2022-01-19,1,33722.36,28.0
2022-01-19,0,14224.42,7.0
2022-01-19,5,0.0,0.0
2022-01-19,20,27312.705,3.5
2022-01-19,12,66102.015,7.0
2022-01-19,58,0.0,0.0
2022-01-19,50,52183.005,3.5
2022-01-20,63,0.0,0.0
2022-01-20,11,0.0,0.0
2022-01-20,32,0.0,0.0
2022-01-20,24,30044.525,3.5
2022-01-20,75,0.0,0.0
2022-01-20,9,27154.295,3.5
2022-01-20,10,0.0,0.0
2022-01-20,4,72889.425,7.0
2022-01-20,3,0.0,0.0
2022-01-20,2,37556.32999999999,10.5
2022-01-20,25,0.0,0.0
2022-01-20,23,18278.155,3.5
2022-01-20,14,0.0,0.0
2022-01-20,18,0.0,0.0
2022-01-20,7,15777.685,3.5
2022-01-20,38,0.0,0.0
2022-01-20,34,0.0,0.0
2022-01-20,35,11643.52,3.5
2022-01-20,1,29524.81,24.5
2022-01-20,0,48075.965,21.0
2022-01-20,5,0.0,0.0
2022-01-20,40,0.0,0.0
2022-01-20,270,0.0,0.0
2022-01-20,37,0.0,0.0
2022-01-20,21,0.0,0.0
2022-01-20,12,0.0,0.0
2022-01-20,43,0.0,0.0
2022-01-20,170,44966.25,3.5
2022-01-20,83,63690.935,3.5
2022-01-20,8,183169.98,7.0
2022-01-21,125,8305.605000000001,3.5
2022-01-21,22,11904.9,3.5
2022-01-21,271,0.0,0.0
2022-01-21,11,43283.20499999999,10.5
2022-01-21,6,88304.755,17.5
2022-01-21,32,60961.81,10.5
